player_code,tm_player_id,fpl_name,tm_name
516432,747996,Valintino Adedokun,Val Adedokun
516874,796037,Charles Sagoe,Charles Sagoe Jr
519328,796298,Callum Scanlon,Calum Scanlon
524196,852517,Shaqai Forde,Shaq Forde
532535,867710,Thomas Wilson-Brown,Tom Wilson-Brown
536677,921532,Detlef Esapa Osong,Esapa Osong
543968,743599,Emersonn Correia da Silva,Emersonn
549329,927768,Lucas Pires Silva,Lucas Pires
551226,880245,Mateus Gonçalo Fernandes,Mateus Fernandes
551230,805714,Renato Palma Veiga,Renato Veiga
551483,741257,Álex Jiménez Sánchez,Álex Jiménez
564406,967346,Eliezer Mayenda Dossou,Eliezer Mayenda
565297,834742,Mateo Joseph Joseph Fernández-Regatillo,Mateo Joseph
575458,984096,Jair Paula da Cunha Filho,Jair Cunha
575476,1005649,Murillo Santiago Costa dos Santos,Murillo
591386,1045123,Treymaurice Nyoni,Trey Nyoni
593001,1060740,Enso González Medina,Enso González
596572,854722,Michael Dacosta Gonzalez,Michael Dacosta
604211,1079078,Tymur Tutierov,Timur Tuterov
616222,1005575,Vitor de Oliveira Nunes dos Reis,Vitor Reis
624773,1056993,Estêvão Almeida de Oliveira Gonçalves,Estêvão
628204,1141628,Yunus Emre Konak,Yunus Konak
641221,1193867,Pedro Cardoso de Lima,Pedro Lima
643135,1064471,Fer López González,Fer López
647597,1203143,Dominic Dos Santos Martins,Dominic Martins
649240,967342,Joshua Stephenson,Josh Stephenson
653481,1005583,Alysson Edward Franco da Rocha dos Santos,Alysson
661712,1283997,Diego León Blanco,Diego León
678552,1323654,Malcom DaCosta,Malcom Dacosta González
718875,1414663,Talla Ndiaye,Mor Talla Ndiaye
243569,424021,Adedapo Awokoya-Mebude,Dapo Mebude
244716,459463,Juan Camilo Hernández Suárez,Chucho Hernández
246265,433329,Corrie Ndaba,Corey Ndaba
247670,522784,Valentín Castellanos,Taty Castellanos
248056,489359,Tanaka Ao,Ao Tanaka
420922,487924,Jan Zamburek,Jan Zamburek
424001,663581,Vini de Souza Costa,Vini Souza
